City,State/Region,Country,Zip Code,MMI,Responses,Distance,Latitude,Longitude
Santa Cruz,Saint Elizabeth,Jamaica,,IV,1,185 km,18.07,-77.72
Southfield,Saint Elizabeth,Jamaica,,III,4,205 km,17.88,-77.67
Anchovy,Saint James,Jamaica,,IV,1,143 km,18.4,-77.92
Cambridge,Saint James,Jamaica,,IV,2,152 km,18.32,-77.89
Maroon Town,Saint James,Jamaica,,III,1,156 km,18.35,-77.79
Montego Bay,Saint James,Jamaica,,IV,48,137 km,18.47,-77.92
Gayle,Saint Mary,Jamaica,,IV,2,221 km,18.33,-77
Port Maria,Saint Mary,Jamaica,,V,1,228 km,18.37,-76.89
Easington,Saint Thomas,Jamaica,,IV,1,281 km,17.92,-76.6
Clarkʿs Town,Trelawney,Jamaica,,III,1,167 km,18.42,-77.57
Duncans,Trelawney,Jamaica,,II,5,167 km,18.47,-77.53
Falmouth,Trelawney,Jamaica,,III,5,155 km,18.49,-77.66
Wakefield,Trelawney,Jamaica,,VI,5,156 km,18.42,-77.72
Bethel Town,Westmoreland,Jamaica,,IV,2,150 km,18.3,-77.95
Grange Hill,Westmoreland,Jamaica,,IV,1,130 km,18.37,-78.2
Little London,Westmoreland,Jamaica,,III,2,137 km,18.3,-78.2
Negril,Westmoreland,Jamaica,,V,13,130 km,18.32,-78.33
Petersfield,Westmoreland,Jamaica,,IV,4,148 km,18.25,-78.07
